Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
Sales TO,PT Tirta Gracia Fiesta,Jakarta Selatan,Gaji di atas ekspektasi,2025-04-21,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,1 tahun,Apa Saja,Semuanya,"Menawarkan produk melakukan penjualan mencari outlet baru
 Melakukan penagihan ke toko","Paham area Jabotabek dan sekitarnya
 Memiliki pengalaman sales FMCG min 2 tahun
 Mampu bekerjasama dalam tim jujur  orientasi pada target",Kami adalah perusahaan nasional yang bergerak di bidang Food  Beverage yang mempunya cabang Di dalam dan luar Negeri Dalam kondisi usaha kami yang terus maju  berkembang perusahaan kami terus melebarkan sayapnya yang salah satunya kami telah membuka cafe  resto Kami mempunyai dan menanankan nilainilai Perusahaan 1 Jujur 2 Bertanggungjawab 3 Berorientasi pada hasil Dengan memiliki nilai nilai tersebut dan budaya perusahaan yang disiplin profesional dinamis kreattif dan inovatif sertamemberikan kesempatan kepada anda untuk mengembangkan karir bersama kami,,
cook helper,PT Handal Guna Sarana,Prov. DKI-Jakarta,Gaji di atas ekspektasi,2025-04-21,Tidak Disebutkan,Operasi Restoran,"Pemula / Staf, Staf Senior",-,Apa Saja,Semuanya,"Membantu Cook dalam menyiapkan bahan masakan
Bisa menggantikan Cook jika cook sedang off untuk yang bisa pegang wok
Bekerja sesuai dengan jadwal dan tugas sebagaimana diberikan oleh Leader","Usia maksimal 30 tahun
Mau belajar jujur semangat tinggi inisiatif komunikatif teliti cekatan
Pengalaman min 1th fresh graduate dipertimbangkan
Bersedia bekerja shift dan masuk di hari libur SabtuMinggu atau hari libur nasional
Penempatan di outlet manapun area Jakarta Selatan dan Jakarta Barat",PT Handal Guna Sarana is one of Tirta Groups companies established in 2012 which is engaged in logistics services Currently our service focus is land transportation both raw material delivery primary delivery secondary distribution and warehousing Companies that work with us include Danone Aqua Bukalapak Heinz Kraft Japfa Nutricia Agriaku and many more We run 20 branches As the business continues to grow we realize that our success is primarily supported by individuals who have the drive and high enthusiasm to be part of the big family of PT Handal Guna Sarana We invite all those who are young active dynamic creative innovative skillful and who want to grow and make continuous improvements to join with us,,
Accounting,PT Handal Guna Sarana,Prov. DKI-Jakarta,"Rp 4,5 juta - Rp 6 juta/bulan",2025-04-21,Tidak Disebutkan,"Audit Intern / Pengawasan, Akuntansi, Keuangan",Staf Senior,2 tahun,Apa Saja,Semuanya,"o Mencatat transaksi keuangan
o Menghitung dan melaporkan pajak PPh PPN
o Verifikasi validasi rekonsiliasi transaksi per hari
o Menyusun laporan keuangan pajak tahunan","o Memiliki semangat untuk bekerja bertanggung jawab jujur
o Memiliki keinginan untuk berkembang dan berkarir
o Memiliki ketelitian dan kerapihan dalam bekerja
o Menguasai pencatatan dan pelaporan keuangan  perpajakan",PT Handal Guna Sarana is one of Tirta Groups companies established in 2012 which is engaged in logistics services Currently our service focus is land transportation both raw material delivery primary delivery secondary distribution and warehousing Companies that work with us include Danone Aqua Bukalapak Heinz Kraft Japfa Nutricia Agriaku and many more We run 20 branches As the business continues to grow we realize that our success is primarily supported by individuals who have the drive and high enthusiasm to be part of the big family of PT Handal Guna Sarana We invite all those who are young active dynamic creative innovative skillful and who want to grow and make continuous improvements to join with us,4500000.0,6000000.0
Motoris,PT Tirta Gracia Fiesta,Jakarta Selatan,Gaji di atas ekspektasi,2025-04-21,Tidak Disebutkan,"Operasi Gudang, Logistik","Pemula / Staf, Staf Senior",1 tahun,Apa Saja,Semuanya,"o Mengirimkan barang sesuai lokasi yang ditentukan 
o Menjaga hubungan baik dengan relasi serta menjaga nama baik perusahaan","o Pendidikan minimal SMU 
o Memiliki Sim C  SKCK Aktif
o Paham area JakartaDepokBogor Tangerang  Sekitarnya
o Memiliki pengalaman diposisi yang sama lebih diutamakan
o Siap untuk penempatan area ciracas  permata hijau sunter dan tangerang",Kami adalah perusahaan nasional yang bergerak di bidang Food  Beverage yang mempunya cabang Di dalam dan luar Negeri Dalam kondisi usaha kami yang terus maju  berkembang perusahaan kami terus melebarkan sayapnya yang salah satunya kami telah membuka cafe  resto Kami mempunyai dan menanankan nilainilai Perusahaan 1 Jujur 2 Bertanggungjawab 3 Berorientasi pada hasil Dengan memiliki nilai nilai tersebut dan budaya perusahaan yang disiplin profesional dinamis kreattif dan inovatif sertamemberikan kesempatan kepada anda untuk mengembangkan karir bersama kami,,
Supir Truck,PERSOLKELLY Recruitment Indonesia,Denpasar,"Rp 2 juta - Rp 3,5 juta/bulan",2025-04-19,Tidak Disebutkan,Supir,Pemula / Staf,1 tahun,Apa Saja,Semuanya,"Mengemudikan truk dan kendaraan perusahaan untuk mengantar barang
Memastikan barang sampai dengan aman dan tepat waktu
Mematuhi peraturan lalu lintas dan menjaga kondisi kendaraan","Memiliki SIM B1B2 yang masih berlaku
Pengalaman minimal 1 tahun sebagai driver truk
Mengetahui rute di Bali dengan baik",PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive endtoend workforce solutions to clients Headquartered in Singapore the company was established in 2016 and is a joint venture between Kelly Services Inc and affiliates of PERSOL HOLDINGS Co Ltd PERSOLKELLY is a regional specialist with a depth and breadth of expertise and capability as we have experience in the realities of your world and can open you to opportunities across ours All businesses seek the winning combination of talent knowledge and experience Coming together as one strong regional business means you benefit from our expansive reach and strong experience our connections and depth of expertise becomes yours Today PERSOLKELLY operates more than 45 offices across 13 markets including Australia China Hong Kong India Indonesia Korea Malaysia New Zealand Philippines Singapore Taiwan Thailand and Vietnam For more information please visit wwwpersolkellycom,2000000.0,3500000.0
Recruitment Officer - DIKA Bandung,PT Danamas Insan Kreasi Andalan (DIKA),Bandung,"Rp 3,5 juta - Rp 4 juta/bulan",2025-04-17,Tidak Disebutkan,Sumber Daya Manusia,Pemula / Staf,-,D3,Semuanya,"Mohon lengkapi lamaran dengan mengisi form  httpsbitlyROBandung2025


 Merencanakan Mengorganisir dan mengevaluasi Proses rekrutmen dalam rangka mendapatkan kandidat yang kompeten sesuai kebutuhan dari client
 Memastikan flow recruitment berjalan sesuai SOP
 Mencari kandidat sesuai dengan kualifikasi dari klien
 Menginterview kandidat melalui video call atau google meet
 Mengundang kandidat untuk interview dengan admin interview
 Menginput data kandidat yang lolos dari admin interview ke sistem
 Mengkonfirmasi kehadiran kandidat untuk mengikuti interview user
 Kandidat mengikuti interview user dan menunggu hasil kelulusan","Mohon lengkapi lamaran dengan mengisi form  httpsbitlyROBandung2025

Pria diutamakan
Min pendidikan Diploma
Memiliki pengalaman di bidang recruitment
Terbiasa Massive hiring dengan kebutuhan cepat
Memiliki strategi sourcing mandiri fast respon
Terbiasa dengan target",PT Danamas Insan Kreasi Andalan atau DIKA merupakan anak perusahaan dan Dana Pensiun Karyawan BCA yang didirikan di Jakarta pada tanggal 2 Mei 2012 dengan fokus di bisnis outsourcing Misi utama DIKA adalah mengembangkan sumber daya manusia dalam mencapai performa terbaik dan memberikan solusi terpadu untuk Mien dalam mencapal tujuan perusahaan Vlsi DIKA adalah menjadi mitra bisnis yang andal dan terpecaya yang dapat membantu kiien dalam mengembangkan bisnisnya Kekuatan DIKA terletak pada managemen yang sudah berpengalaman dan profesional di bidang Industri keuangan dan jasa Dengan pengalaman yang luas dan performa yang terbukti balk selama bertahuntahun DIKA adalah MITRA BIS NIS yang andal bagi kiien,3500000.0,4000000.0
CNC Programmer,PT Peroni Karya Sentra,Mojokerto,Rp 7 juta - Rp 9 juta/bulan,2025-04-17,Tidak Disebutkan,"Teknik, Mesin, Teknik, Elektro","Pemula / Staf, Staf Senior, Supervisor",2 tahun,S1,"Teknik Mesin, Teknik Lainnya",Fokus pada tugastugas membuat program CNC melakukan set up mesin dan melakukan pemeriksaan kualitas produk,"Usia Max 40 tahun
Diploma atau Sarjana Teknik MesinTeknik Elektro
Menguasai Software Computer Aided Manufacturing CAM seperti Mastercam SolidCAM Fusion 360 atau lainnya untuk membuat program CNC
Memiliki pPengetahuan tentang berbagai jenis mesin CNC milling lathe EDM dll dan kemampuan untuk mengoperasikannya
Mampu untuk membaca dan menginterpretasikan gambar teknik 2D dan 3D
Memiliki pemahaman yang kuat tentang matematika dan geometri untuk melakukan perhitungan yang diperlukan dalam pemrograman CNC
Mampu menggunakan alat ukur seperti mikrometer jangka sorong dan lainnya untuk memeriksa hasil produksi
Mampu untuk menganalisis masalah dan mencari solusi yang efektif
Memiliki kreativitas untuk mengembangkan ideide baru dan mencari cara untuk meningkatkan efisiensi
Memiliki kemampuan untuk memperhatikan detail kecil yang dapat mempengaruhi kualitas produk
Mampu untuk bekerja sama dengan tim produksi engineering dan quality control
Memiliki kemampuan untuk mengatur waktu dan prioritas pekerjaan dengan efektif",Founded in 1997 with foreign investment from Taiwan PT Peroni Karya Sentra has grown to become Indonesias leading manufacturer of stainless steel flanges With a diverse product range that includes stainless steel and aluminum flanges pipe fittings valves and customdesigned components we have established a global reputation for quality and reliability over the past 27 years Our products serve a wide variety of industries worldwide consistently meeting the highest standards Our relentless pursuit of Excellent Quality is driven by significant investments in advanced technology and a commitment to continuous innovation We maintain strict adherence to our Quality Assurance System which includes ISO 90012015 certification as well as REACH and RoHS compliance ensuring that every product we deliver meets the most stringent international standards,7000000.0,9000000.0
Tester Aplikasi Perbankan,PT Bina Talenta,KOTA TANGERANG SELATAN,"Rp 4,7 juta - Rp 4,9 juta/bulan",2025-04-17,Tidak Disebutkan,"TI, Web Developer",Pemula / Staf,-,S1,"Ilmu Komputer, Sistem Informasi, Teknologi Informasi","Membuat rencana pengujian dan skenario pengujian manual 
Melakukan pengujian perangkat lunak secara manual untuk menemukan bug atau masalah teknis lainnya 
Memastikan bahwa aplikasi berfungsi dengan baik dan sesuai dengan spesifikasi yang ditentukan","Pria Wanita
Usia maks 27 Tahun
Pendidikan S1 jurusan Teknik Informatika dan Sistem Informasi
Memiliki pemahaman dasar tentang Operating System Windows 7 Programming Language and Freamwork java Android  IOS  Database MySQL  Oracle
Dapat mengoperasikan Komputer dan Ms Office
Memiliki smartphone Android  Iphone
Berdomisili di wilayah Tangsel dan Jaksel
Lokasi kerja  Bintaro  Tangsel",An outsourcing company specialized in Banking and financial industry,4700000.0,4900000.0
CNC Milling Operator,PT Peroni Karya Sentra,Mojokerto,"Rp 4,8 juta - Rp 5,5 juta/bulan",2025-04-17,Tidak Disebutkan,"Teknik, Mesin","Pemula / Staf, Staf Senior, Supervisor",1 tahun,D3,"Teknik Mesin, Teknik Lainnya","Mengoperasikan mesin CNC Milling
Melakukan setting material
Melakukan proses kerja dengan program 2D Mastercam
Melakukan pekerjaan sesuai target yang diberikan","Usia Minimal 20 tahun
Pendidikan D3 Permesinansejenisnya
Berpengalaman minimal 1 tahun mensetting  mengoperasikan mesin CNC Milling
Mampu Setting Material dan Membaca Gambar Teknik
Mampu mengoperasikan program 2D Mastercam
Menguasai pengukuran hasil kerja menggunakan alat ukur presisi caliper micrometer
Memahami Gcode dan Controller CNC
Disiplin bertanggung jawab dan mampu menjaga standar keselamatan kerja",Founded in 1997 with foreign investment from Taiwan PT Peroni Karya Sentra has grown to become Indonesias leading manufacturer of stainless steel flanges With a diverse product range that includes stainless steel and aluminum flanges pipe fittings valves and customdesigned components we have established a global reputation for quality and reliability over the past 27 years Our products serve a wide variety of industries worldwide consistently meeting the highest standards Our relentless pursuit of Excellent Quality is driven by significant investments in advanced technology and a commitment to continuous innovation We maintain strict adherence to our Quality Assurance System which includes ISO 90012015 certification as well as REACH and RoHS compliance ensuring that every product we deliver meets the most stringent international standards,4800000.0,5500000.0
Admin Legal Perbankan,PT Bina Talenta,Medan,"Rp 3,7 juta - Rp 3,7 juta/bulan",2025-04-17,Tidak Disebutkan,Administrasi,Pemula / Staf,-,S1,Hukum,"Bertanggung jawab untuk mengelola dokumen perusahaan yang berhubungan dengan legal contract untuk keperluan kredit
Melakukan review legal contract
Mengelola  segala dokumen administrasi yang berhubungan dengan legal contract","Wanita
    Single
    Fresh Graduate
    Usia maks 25 Tahun
    Jujur Disiplin mampu bekerja dibawah tekanan bertanggung jawab
    S1 Hukum IPK 300 Universitas Negeri  Swasta Ternama
    Menguasai Ms Office
    Lokasi kerja  Medan
    Komunikatif bisa bekerja dalam team atau individu",An outsourcing company specialized in Banking and financial industry,3700000.0,3700000.0
